adverse_id,class,concept_or_locus,observed_problem,evidence_path,evidence_sha256,locator,severity,disposition,notes
ZH-P25-A001,omission,opening apparatus,lecture line and byline omitted; footnote moved into opening prose,witness/Noether_Paper25_SimplifiedChinese_logical_article_exact_CRLF.tex,0463D37351E1611F22AC6DB8CEB1B8D26E3B4A8EE2EFFCCA018B5E65A4515C79,logical lines 1-8,high,repaired,Inherited text remains witness only.
ZH-P25-A002,notation_loss,Galois field,source overline on mathfrak R omitted,witness/Noether_Paper25_SimplifiedChinese_logical_article_exact_CRLF.tex,0463D37351E1611F22AC6DB8CEB1B8D26E3B4A8EE2EFFCCA018B5E65A4515C79,logical line 36,critical,repaired,Target restores overline.
ZH-P25-A003,false_friend,perfect field,vollkommener Körper rendered 完备域,witness/Noether_Paper25_SimplifiedChinese_logical_article_exact_CRLF.tex,0463D37351E1611F22AC6DB8CEB1B8D26E3B4A8EE2EFFCCA018B5E65A4515C79,logical line 36,critical,repaired,Independent PRC sources require 完全域.
ZH-P25-A004,object_type,polynomial ring,Bereich/Polynombereich rendered 整环域 and 多项式域,witness/Noether_Paper25_SimplifiedChinese_logical_article_exact_CRLF.tex,0463D37351E1611F22AC6DB8CEB1B8D26E3B4A8EE2EFFCCA018B5E65A4515C79,logical line 23,high,repaired,Target uses 多项式环.
ZH-P25-A005,sense_collision,Idealbasis,bare 理想基 can imply a linearly independent or Gröbner basis,witness/Noether_Paper25_SimplifiedChinese_logical_article_exact_CRLF.tex,0463D37351E1611F22AC6DB8CEB1B8D26E3B4A8EE2EFFCCA018B5E65A4515C79,logical lines 23 and 38,high,clarified,Target uses finite 生成元 and the source equation.
ZH-P25-A006,process_ambiguity,Quotientenbildung,形成商 can suggest another quotient rather than passage to fractions,witness/Noether_Paper25_SimplifiedChinese_logical_article_exact_CRLF.tex,0463D37351E1611F22AC6DB8CEB1B8D26E3B4A8EE2EFFCCA018B5E65A4515C79,logical line 34,medium,clarified,Target uses 取分式.
ZH-P25-A007,unsupported_competitor,Transzendenzgrad,超越度 proposed during source audit but absent from checked PRC TeX shelf,evidence/PRC_TEX_EXACT_STRING_SEARCH_AUDIT.json,79D741CBF159530C862C8707DAD96F3493756B5D2EF8DD842A80345E29646010,query 超越度: 0 hits; positive control 超越次数: 6 hit lines in 95-file exact TeX inventory,high,rejected,Retain independently attested 超越次数.
ZH-P25-A008,metadata_conflict,bibliographic year,sealed editorial header says 1924; GDZ package metadata says 1925; printed pages show no year,evidence://local-workspace/Codex/2026-06-01/we-are-currently-doing-a-massive/Noether_LocalCodex_20260717_P25_FullPaperAudit_from_P24Head/1/04_source_witnesses/P25/Noether_P25_GDZ_JDMV33_1924_LOG_0016_pp116_120.pdf,0C5FE4E6735636A34C8DD34D16969C5A1E1659523F8840A9B8428F1A70D8E219,PDF metadata page versus printed pp.116-120,medium,held,Retain sealed 1924 pending bibliographic-owner ruling; routed to 4 -nterslav.
ZH-P25-A009,absence,historical labels,no independent exact PRC historical attestation recovered for 素函数/准素函数/零点域,evidence/PRC_TEX_EXACT_STRING_SEARCH_AUDIT.json,79D741CBF159530C862C8707DAD96F3493756B5D2EF8DD842A80345E29646010,queries 素函数/准素函数/最大准素函数/零点域: 0 hits in 95-file exact TeX inventory,medium,held,Source-tethered forms; auto-promotion prohibited.
ZH-P25-A010,cohort_absence,regional standards,PRC Hans evidence does not support Singapore Hans or TW/HK/MO Hant prose,evidence/NOE-P25_CJKV_CROSSWALK.csv,004346C1DCA613E6E540C60D16CBBA892DFCC5A44884DF1A720A4D738444E6B9,all 14 concept/script rows; explicit dominance and cohort fields,high,held,Controlled generic Hant is not localization.
ZH-P25-A011,sense_collision,ursprünglichen Ideals,inherited 原理想 can read as a named technical term although the source is anaphoric to the previously introduced ideal a,witness/Noether_Paper25_SimplifiedChinese_logical_article_exact_CRLF.tex,0463D37351E1611F22AC6DB8CEB1B8D26E3B4A8EE2EFFCCA018B5E65A4515C79,logical line 38,medium,clarified,Target uses 原来理想; independent exact-label evidence remains absent.
ZH-P25-A012,provenance_correction,exact-search shelf classification,A007 and ZH-D028 mislabeled a mixed 95-file CJK inventory as PRC-oriented and treated six aggregate 超越次数 hit lines as Chinese although four are Japanese,evidence/CJK_MIXED_TEX_EXACT_STRING_SEARCH_AUDIT.json,AF82758DF501A3A6904FA60B787BD0C3FF91A6DD506265C6930FC2532014E015,"shelf.cohort_counts; query 超越次数: zh-Hans-CN-oriented 2, ja 4; query 超越度: 0 and 0",high,corrected,"Supersedes only the shelf/count characterization, not the lexical choice: Li chapter 8 independently attests 超越次数 in the exact sense. The earlier audit remains preserved as a superseded witness."
ZH-P25-A013,absence,historical labels,"No exact Chinese-subcohort hit was found for 素函数/准素函数/最大准素函数/零点域, but the search covers only the declared 71-file Chinese subcohort and cannot establish PRC-wide absence",evidence/CJK_MIXED_TEX_EXACT_STRING_SEARCH_AUDIT.json,AF82758DF501A3A6904FA60B787BD0C3FF91A6DD506265C6930FC2532014E015,queries 素函数/准素函数/最大准素函数/零点域: 0 hit lines in zh-Hans-CN-oriented subcohort; Japanese results separately zero,medium,held,Corrects the scope of A009. Retain source-tethered forms with explicit sense windows; auto-promotion remains prohibited.
ZH-P25-A014,provenance_correction,regional-standard cohort controls,The current 18-field crosswalk supersedes the earlier A010 artifact binding after exact-path and cohort-provenance corrections,evidence/NOE-P25_CJKV_CROSSWALK.csv,D1FA91A327D6E583C4EE3CFF9EC91579455EB66E815C847CE0E275B51AC7B328,all 14 concept/script rows; exact evidence paths/hashes; explicit dominance and cohort fields,medium,corrected,No Singapore or TW/HK/MO authorization is added; controlled Hant remains generic and non-localized.
